img_name,label_id,label_name
img_1000_3_2.jpg,0,由
img_1000_3_3.jpg,1,新
img_1000_3_4.jpg,2,店
img_1000_3_5.jpg,3,明
img_1000_3_6.jpg,4,自
img_1000_3_7.jpg,5,盟
img_1000_3_8.jpg,6,聯
img_1002_5_2.jpg,1,新
img_1002_5_3.jpg,7,酥
img_1002_5_4.jpg,8,鹽
img_1002_5_5.jpg,9,雞
img_1002_5_6.jpg,1,新
img_1002_5_7.jpg,3,明
img_1003_6_1.jpg,10,貨
img_1003_6_2.jpg,11,車
img_1003_6_3.jpg,12,出
img_1003_6_4.jpg,13,租
img_1003_6_5.jpg,14,鴻
img_1003_6_6.jpg,15,成
img_1004_7_12.jpg,16,宏
img_1004_7_13.jpg,17,幼
img_1004_7_14.jpg,18,醫
img_1004_7_15.jpg,19,婦
img_1004_7_16.jpg,20,院
img_1004_7_17.jpg,21,停
img_1004_7_18.jpg,11,車
img_1004_7_19.jpg,22,場
img_1004_7_20.jpg,23,宋
img_1004_7_21.jpg,24,俊
img_1005_8_1.jpg,25,美
img_1005_8_2.jpg,26,麗
img_1005_8_3.jpg,27,容
img_1005_8_4.jpg,25,美
img_1005_8_5.jpg,11,車
img_1005_8_6.jpg,28,汽
img_1005_8_7.jpg,29,河
img_1005_8_8.jpg,11,車
img_1007_10_3.jpg,30,綿
img_1007_10_4.jpg,31,下
img_1007_10_5.jpg,32,榕
img_1007_10_6.jpg,33,冰
img_1007_10_7.jpg,30,綿
img_1007_10_8.jpg,34,樹
img_1008_11_1.jpg,35,國
img_1008_11_2.jpg,36,全
img_1008_11_3.jpg,37,子
img_1008_11_4.jpg,38,電
img_1009_12_3.jpg,39,我
img_1009_12_4.jpg,40,物
img_1009_12_5.jpg,41,館
img_1009_12_6.jpg,42,活
img_1009_12_7.jpg,43,生
img_1009_12_8.jpg,44,寵
img_1009_12_9.jpg,45,家
img_100_2_10.jpg,46,肉
img_100_2_11.jpg,47,牛
img_100_2_12.jpg,48,老
img_100_2_13.jpg,49,中
img_100_2_7.jpg,50,壢
img_100_2_8.jpg,51,牌
img_100_2_9.jpg,52,麵
img_1010_14_5.jpg,19,婦
img_1010_14_6.jpg,53,品
img_1010_14_7.jpg,17,幼
img_1010_14_8.jpg,54,藥
img_1011_15_5.jpg,55,洗
img_1011_15_6.jpg,2,店
img_1011_15_7.jpg,56,乾
img_1011_15_8.jpg,57,嘉
img_1011_15_9.jpg,25,美
img_1012_16_13.jpg,58,速
img_1012_16_14.jpg,59,快
img_1012_16_15.jpg,60,相
img_1012_16_16.jpg,25,美
img_1012_16_17.jpg,61,汎
img_1012_16_18.jpg,62,照
img_1013_17_10.jpg,63,興
img_1013_17_11.jpg,64,福
img_1013_17_4.jpg,65,俱
img_1013_17_5.jpg,66,心
img_1013_17_6.jpg,49,中
img_1013_17_7.jpg,67,示
img_1013_17_8.jpg,68,展
img_1013_17_9.jpg,69,傢
img_1014_18_10.jpg,70,酒
img_1014_18_11.jpg,71,菸
img_1014_18_6.jpg,72,批
img_1014_18_7.jpg,73,發
